age,revenu_mensuel,anciennete_compte_mois,nb_transactions_mois,montant_moyen_transaction,taux_endettement_pct,nb_incidents_paiement_12m,montant_credit_demande,type_contrat,score_bureau_externe,utilisation_carte_pct,default
39,1794.12,17,22,182.01,21.3,1,1365.28,CDI,667,11.59,0
33,1454.43,57,22,26.34,3.04,0,2652.98,CDI,685,46.45,0
41,1686.01,9,11,15.84,26.61,2,7846.02,CDD,715,56.76,0
49,2504.31,4,19,47.92,31.24,1,2039.95,Indépendant,560,12.25,0
32,3219.32,29,15,50.16,15.36,0,2501.82,CDD,499,54.23,0
32,2348.28,18,12,32.15,20.26,0,3831.31,Indépendant,690,51.3,0
50,1905.25,46,16,28.69,72.51,1,5264.77,CDI,680,39.26,0
42,3551.46,2,14,71.32,13.83,0,3661.58,Indépendant,689,26.59,0
30,1583.63,44,22,17.51,23.21,0,4354.78,CDD,666,39.73,0
40,2883.59,8,20,26.11,29.16,1,3885.39,CDI,557,16.41,0
30,1601.22,25,13,22.67,2.51,0,3555.45,Indépendant,596,79.93,0
30,2206.66,1,15,79.85,25.91,2,3393.79,CDD,691,32.23,0
37,1730.82,22,16,42.54,12.55,0,3385.94,CDI,662,12.88,0
18,1775.95,30,18,14.86,27.79,0,3186.21,CDD,748,28.97,0
18,1538.69,11,22,16.07,64.89,1,1106.1,CDI,727,8.95,1
29,3316.96,6,21,146.55,11.05,0,11161.73,CDI,604,21.63,0
25,1313.06,18,18,79.19,31.58,2,1755.44,Indépendant,840,90.77,0
38,1308.79,42,17,65.6,13.75,1,2578.22,Indépendant,528,59.23,0
26,4688.95,9,10,34.38,58.16,0,7515.99,Indépendant,591,16.65,1
21,2816.13,7,23,110.29,42.48,0,11423.49,CDD,659,19.39,1
49,800.0,8,16,14.42,25.84,3,7077.65,CDI,537,30.44,1
33,1415.01,71,24,61.23,31.85,0,5267.24,CDI,541,45.55,0
35,811.47,11,19,24.11,40.78,1,4442.31,CDI,488,33.53,0
21,1191.53,1,26,28.05,10.4,0,3004.32,Sans emploi,713,29.94,0
29,800.0,36,20,59.94,10.32,0,5339.41,CDI,324,55.44,1
36,1712.83,28,12,30.45,37.98,1,7085.07,CDI,685,32.93,0
24,1094.11,3,15,24.27,16.34,0,6775.58,CDD,733,33.11,0
38,1870.04,99,17,23.16,42.28,1,7107.46,CDD,686,19.42,0
29,882.0,22,14,7.25,25.52,0,2673.07,CDI,593,10.49,0
32,1889.33,16,16,61.72,50.22,0,3709.73,CDI,538,56.97,0
29,1513.15,11,12,15.55,32.4,1,1190.89,CDI,793,43.31,0
52,3557.71,54,18,144.85,21.25,1,8104.96,Indépendant,683,30.53,0
35,3416.82,7,19,27.22,33.88,0,3472.59,Indépendant,521,70.16,0
25,2584.44,8,14,94.45,47.86,1,1249.94,CDD,586,44.84,0
43,1573.93,3,26,8.32,48.17,0,4242.13,CDD,753,30.32,1
23,4413.75,34,18,60.21,46.64,1,7204.09,CDI,760,66.63,0
37,910.82,21,14,73.56,4.26,0,3462.62,CDI,648,52.58,0
18,973.61,22,11,94.02,17.37,1,4851.29,CDD,794,52.63,0
22,1753.96,6,18,10.36,43.4,1,2672.63,CDI,663,49.11,0
37,4975.6,25,17,19.7,39.91,0,2095.25,CDD,584,20.76,1
42,1663.63,34,21,53.36,43.39,1,4727.42,Indépendant,519,31.79,0
36,1677.86,10,17,38.23,28.26,0,2197.73,CDD,832,10.51,0
34,957.1,38,13,42.8,11.99,0,3785.53,CDI,464,22.69,0
32,2776.33,10,25,25.72,11.26,0,1726.57,Sans emploi,642,10.73,0
21,2785.32,34,20,113.99,20.18,0,3380.96,CDI,820,22.33,1
28,2588.74,1,17,259.82,27.09,0,5807.47,CDI,633,7.33,0
30,1375.22,19,19,36.93,29.8,0,1657.46,CDD,752,44.25,0
45,1328.5,83,20,48.48,29.76,1,2811.46,CDI,722,26.59,0
38,1022.77,94,12,35.58,54.27,1,2225.69,CDI,692,77.44,0
18,1890.14,8,19,92.6,14.45,0,6876.13,CDD,660,39.77,1
38,1124.55,14,16,64.97,19.38,1,3650.14,CDI,612,57.95,1
31,1076.93,2,20,14.84,26.83,2,3479.09,CDI,604,17.61,1
28,1507.24,49,15,21.13,21.23,0,3250.34,CDD,583,27.36,1
41,1463.87,20,15,15.51,65.53,0,2506.72,Indépendant,608,81.55,1
45,1432.34,12,25,277.9,63.53,1,1381.29,CDD,663,41.35,0
44,2241.8,3,23,55.86,32.99,1,3019.91,CDD,577,17.76,0
27,1886.08,70,4,21.41,42.16,1,6370.59,Indépendant,670,46.13,0
32,1601.16,18,23,20.12,52.66,0,2607.97,CDI,631,20.21,0
38,1975.59,8,18,63.77,69.12,2,5111.25,CDD,850,52.36,0
44,1170.02,10,15,68.92,10.14,1,1515.33,CDI,827,38.31,0
30,1908.27,7,14,63.42,46.14,0,8552.6,CDD,660,39.1,0
33,1947.24,22,14,24.45,47.97,0,9851.81,CDI,493,49.86,1
24,931.36,63,15,43.22,10.28,1,5044.07,Indépendant,704,53.82,0
23,2838.64,46,13,37.13,62.45,1,3893.27,Indépendant,784,16.81,0
43,1228.91,15,12,16.42,18.34,1,2116.51,Indépendant,457,4.58,1
48,1895.58,42,14,16.55,23.39,0,1079.77,CDI,701,16.92,0
34,3060.48,13,19,46.94,45.16,0,4950.51,Sans emploi,736,70.34,0
44,2751.36,7,18,39.69,6.59,1,7286.69,CDI,681,53.59,0
38,1848.84,97,20,52.41,20.32,1,3264.77,CDI,691,32.83,0
29,1548.94,9,18,63.07,18.31,0,4129.47,CDD,608,51.16,0
38,2778.29,9,12,109.51,10.09,0,2015.32,CDI,685,28.3,1
49,2459.99,108,20,18.61,30.56,0,4614.35,CDI,648,13.41,0
34,1381.89,3,14,55.64,46.87,0,6712.8,CDI,609,24.6,0
50,1277.27,34,21,61.05,29.89,0,5142.25,CDI,626,9.33,1
18,800.0,65,13,26.7,23.61,0,2161.55,CDI,522,83.23,0
43,1950.22,17,15,37.45,7.79,0,2661.53,Indépendant,554,62.97,0
36,1754.81,1,16,27.24,14.45,0,5524.93,CDI,557,52.29,0
32,3022.2,11,21,176.02,49.83,0,2555.43,CDI,687,18.89,0
36,2136.96,3,19,36.95,23.7,0,10684.54,CDI,581,22.27,0
18,3301.28,13,18,48.41,13.52,0,14613.34,Sans emploi,748,27.54,0
33,1334.05,37,26,27.73,37.33,0,3086.05,CDD,634,70.57,1
38,3024.84,14,10,23.44,17.48,0,18760.07,CDI,666,35.01,0
49,1438.14,13,14,12.35,13.62,0,3688.42,CDI,600,34.51,0
30,2575.52,19,13,80.22,4.44,1,7186.14,CDI,695,64.56,0
27,949.94,21,10,61.97,31.15,1,4328.33,CDD,661,59.1,0
30,2022.06,46,15,26.94,30.1,0,3766.07,Sans emploi,768,17.57,0
43,800.0,9,21,16.89,1.97,0,1620.29,CDI,746,22.14,0
38,1616.24,41,15,39.18,17.76,0,3240.61,CDI,526,41.88,0
30,2215.86,20,17,23.11,6.15,0,10515.11,CDD,751,24.17,0
40,1443.24,8,11,28.65,18.19,1,5042.7,Sans emploi,610,13.75,0
36,1139.68,8,15,12.73,8.53,0,3739.87,CDI,630,19.61,0
44,2655.45,11,16,40.33,11.77,0,3562.97,Indépendant,795,32.93,0
28,1738.63,23,21,40.96,51.43,0,5255.29,CDI,650,18.84,1
32,1463.6,6,11,79.9,21.76,0,3683.0,CDD,623,8.6,0
31,1855.08,60,16,30.28,6.61,0,4849.69,CDI,771,33.87,0
21,5901.46,20,22,26.26,13.51,2,3378.53,CDD,497,24.73,1
38,3045.63,60,16,10.13,56.52,0,3211.32,CDI,690,18.91,0
37,3057.97,1,9,80.29,17.99,3,1974.82,CDI,564,27.2,0
35,2211.12,10,23,68.27,42.02,0,10685.99,CDI,609,45.9,0
32,1961.08,1,21,34.83,5.11,0,1958.66,CDD,689,31.88,1
21,800.0,8,22,12.09,21.42,1,4357.57,CDI,467,56.02,1
31,1345.03,47,11,13.22,36.09,1,2768.29,Indépendant,827,34.47,0
31,1469.48,1,24,22.24,49.57,0,2629.33,CDD,702,76.31,0
27,800.0,14,15,72.23,25.77,0,2817.25,CDI,718,69.86,0
33,1086.58,3,16,42.7,17.69,0,2513.46,CDD,566,38.64,0
39,800.0,13,15,10.64,52.69,0,4447.55,CDI,524,30.53,1
53,1789.89,43,22,46.66,26.09,0,5962.79,CDD,658,49.59,0
36,2623.25,23,17,17.71,20.76,0,5472.08,CDI,589,34.23,1
37,2982.81,32,20,22.67,11.64,1,1228.26,CDI,608,38.38,0
34,2190.74,10,18,72.6,28.03,1,6763.13,CDD,781,20.12,0
18,1184.8,68,18,61.83,25.54,0,5524.92,Indépendant,626,24.24,0
34,800.0,29,14,79.8,17.41,0,2545.44,CDI,697,57.51,0
35,831.67,13,26,33.45,21.07,1,5566.09,CDI,667,50.51,0
58,1033.84,13,12,67.75,52.76,0,6787.02,CDI,797,56.02,0
33,1224.84,59,20,21.57,8.89,0,3021.28,CDI,520,18.06,0
38,1695.53,20,19,27.86,23.1,0,2403.64,Sans emploi,593,10.8,0
34,1158.27,29,23,26.41,15.95,0,9600.76,CDI,548,41.42,0
23,2117.91,13,24,34.69,35.89,0,10921.32,CDD,842,10.71,0
46,1641.57,6,17,12.5,39.13,0,6032.21,Sans emploi,369,18.25,1
