age,revenu_mensuel,anciennete_compte_mois,nb_transactions_mois,montant_moyen_transaction,taux_endettement_pct,nb_incidents_paiement_12m,montant_credit_demande,type_contrat,score_bureau_externe,utilisation_carte_pct,default_reel,proba_defaut,prediction,segment_risque
55,1677.08,50,18,32.51,32.23,0,10908.14,CDI,794,35.36,0,0.227,0,Faible risque
18,2216.26,53,17,17.65,31.47,0,3038.89,CDI,691,68.32,0,0.36,0,Faible risque
52,1615.17,22,28,53.11,12.99,0,2028.65,Sans emploi,635,55.72,0,0.6193,1,Risque eleve
37,2268.11,94,21,33.98,20.92,0,2555.57,CDI,517,65.76,0,0.566,1,Risque eleve
53,3024.34,3,16,19.8,20.57,1,4486.85,Indépendant,774,19.09,1,0.2654,0,Faible risque
34,1529.85,8,21,19.03,6.53,1,1995.49,Indépendant,794,11.77,0,0.2489,0,Faible risque
37,3174.37,3,19,18.8,9.2,0,9028.73,CDI,523,61.89,0,0.404,0,Risque moyen
37,1562.99,33,16,60.7,29.27,1,2315.09,CDI,570,23.58,0,0.606,1,Risque eleve
26,1194.69,23,18,50.53,58.99,0,2105.82,CDD,648,61.22,0,0.6364,1,Risque eleve
23,2064.71,12,20,46.5,31.71,0,9760.04,Sans emploi,656,49.69,0,0.6208,1,Risque eleve
33,1904.36,1,18,9.17,13.19,0,2358.5,CDI,760,21.11,0,0.1983,0,Faible risque
34,2344.22,16,12,57.41,14.42,0,1820.36,CDD,705,17.71,0,0.3278,0,Faible risque
45,1199.45,9,15,24.8,35.99,0,3289.7,CDD,815,35.0,0,0.3058,0,Faible risque
25,2813.61,25,21,7.75,8.0,0,3222.16,CDI,648,33.61,0,0.285,0,Faible risque
27,2372.55,52,16,25.2,16.11,0,1780.36,Sans emploi,485,29.42,1,0.7785,1,Risque eleve
29,4783.0,6,20,127.16,5.3,1,1254.8,CDD,655,26.84,0,0.3943,0,Risque moyen
47,2738.5,2,13,15.13,8.22,0,5482.94,CDD,727,46.36,0,0.2611,0,Faible risque
43,2838.97,20,17,9.18,19.94,0,4895.0,CDI,559,62.16,0,0.4308,0,Risque moyen
29,2607.12,14,24,92.01,20.83,0,4003.18,Indépendant,722,51.27,0,0.2704,0,Faible risque
26,1527.27,3,22,69.47,20.68,1,1692.31,Indépendant,782,23.23,0,0.3135,0,Faible risque
42,2932.51,12,20,57.82,42.34,0,10079.89,Indépendant,674,38.78,0,0.3651,0,Faible risque
30,2820.28,107,21,36.97,53.87,1,1179.97,CDD,762,21.05,0,0.5688,1,Risque eleve
51,2806.87,10,17,108.21,30.82,0,5448.49,CDD,694,24.22,0,0.3796,0,Faible risque
31,3043.13,27,11,28.84,20.51,0,1928.33,CDI,791,3.9,0,0.1744,0,Faible risque
29,1796.07,42,22,42.17,33.02,0,2992.95,CDI,429,58.92,0,0.7025,1,Risque eleve
35,1580.93,10,18,14.51,20.76,0,3684.98,CDI,553,50.8,1,0.4768,0,Risque moyen
18,3323.58,15,22,121.12,20.98,1,3062.3,CDI,545,23.11,0,0.55,1,Risque eleve
36,1437.59,18,20,25.59,30.79,0,6090.66,CDI,651,17.02,0,0.3823,0,Faible risque
22,1694.66,47,15,50.98,11.97,0,1144.34,CDI,649,52.43,1,0.3475,0,Faible risque
31,1286.75,13,14,89.05,15.42,0,4268.39,CDI,478,56.66,0,0.564,1,Risque eleve
